canale,famiglia,classe_abc,data_doc,qta,prezzo_medio,sconti,fatturato,costo_unitario,margine,lead_time,rotazione_magazzino,giacenza_media,ritardo_consegna
Retail,Assemblati,C,2025-11-15,48,15.41,0.105,662.01,10.72,147.45,16,3.66,39.69,-3
Retail,Torniti,C,2026-01-15,97,9.02,0.089,797.07,5.25,287.82,13,4.67,48.66,-6
B2B,Viteria,B,2025-07-26,4,1.98,0.212,6.24,1.28,1.12,8,3.66,0.73,-2
B2B,Assemblati,A,2025-11-27,126,22.39,0.249,2118.68,16.17,81.26,24,11.56,70.35,3
Retail,Viteria,C,2025-06-24,79,3.27,0.073,239.47,2.16,68.83,1,7.18,13.08,-1
Retail,Lamiere,B,2025-09-09,30,12.24,0.075,339.66,8.51,84.36,14,6.1,20.09,-2
Estero,Assemblati,B,2025-11-13,19,22.55,0.143,367.18,14.73,87.31,32,6.19,21.78,2
B2B,Lamiere,B,2025-03-14,36,8.53,0.202,245.05,5.99,29.41,20,7.2,6.63,0
Retail,Viteria,B,2025-02-11,13,1.59,0.158,17.4,1.0,4.4,5,4.96,0.89,-5
B2B,Lamiere,C,2025-03-23,21,10.38,0.117,192.48,6.8,49.68,15,2.51,30.64,-1
B2B,Lamiere,A,2025-10-12,6,13.29,0.253,59.57,10.14,-1.27,21,10.21,1.19,3
Estero,Torniti,C,2025-07-13,4,10.87,0.142,37.31,6.79,10.15,23,1.96,3.28,0
B2B,Lamiere,A,2025-05-04,253,19.1,0.268,3537.24,13.71,68.61,15,11.49,124.35,-4
B2B,Lamiere,C,2025-10-29,26,10.98,0.169,237.23,7.9,31.83,15,4.26,21.4,4
B2B,Viteria,C,2025-01-27,30,1.94,0.177,47.9,1.17,12.8,9,2.0,4.73,-3
B2B,Lamiere,A,2025-03-26,24,15.19,0.25,273.42,10.71,16.38,19,10.59,7.96,2
B2B,Viteria,C,2025-07-12,11,2.18,0.159,20.17,1.38,4.99,9,3.24,1.01,1
Retail,Assemblati,B,2025-12-22,18,21.57,0.133,336.62,15.05,65.72,26,10.06,6.51,2
B2B,Torniti,C,2025-10-22,27,6.62,0.166,149.07,3.65,50.52,11,5.54,6.11,-1
B2B,Lamiere,C,2025-09-28,20,11.67,0.123,204.69,7.95,45.69,18,4.7,15.73,-4
Estero,Torniti,B,2025-10-08,12,6.79,0.167,67.87,4.23,17.11,20,9.17,1.79,4
B2B,Viteria,B,2025-05-15,40,1.65,0.201,52.73,1.02,11.93,10,5.28,3.93,-3
Estero,Viteria,C,2025-07-04,30,1.92,0.158,48.5,1.18,13.1,10,3.83,1.99,2
B2B,Lamiere,C,2025-12-11,36,10.84,0.14,335.61,7.38,69.93,16,3.2,15.87,3
Retail,Lamiere,B,2025-10-15,50,11.29,0.159,474.74,7.55,97.24,15,4.23,26.93,-3
B2B,Torniti,B,2025-08-28,21,8.06,0.186,137.78,5.34,25.64,19,6.18,8.23,-2
Retail,Assemblati,B,2025-02-21,21,25.6,0.16,451.58,18.71,58.67,17,5.83,33.73,-1
B2B,Lamiere,C,2025-10-16,108,19.18,0.134,1793.87,12.67,425.51,17,3.26,134.61,3
Estero,Lamiere,C,2025-06-04,10,14.48,0.145,123.8,8.8,35.8,24,3.43,11.44,0
B2B,Torniti,C,2025-06-11,4,5.86,0.148,19.97,3.47,6.09,11,3.58,0.91,0
Retail,Viteria,C,2025-09-24,43,1.92,0.076,76.29,1.15,26.84,7,4.78,2.4,-2
B2B,Viteria,C,2025-06-14,13,1.82,0.147,20.18,1.08,6.14,2,2.85,1.1,1
B2B,Assemblati,B,2025-08-19,8,20.67,0.216,129.64,15.66,4.36,23,3.83,6.07,-1
B2B,Assemblati,C,2025-01-26,59,16.93,0.13,869.02,12.24,146.86,22,4.44,80.7,-1
B2B,Assemblati,B,2025-03-30,21,12.46,0.16,219.79,8.13,49.06,22,8.1,9.29,-2
B2B,Viteria,C,2025-08-06,7,1.5,0.158,8.84,0.97,2.05,5,3.97,0.93,-4
Retail,Viteria,B,2026-01-06,170,2.26,0.106,343.47,1.26,129.27,7,4.03,34.13,2
B2B,Lamiere,C,2025-10-26,5,14.44,0.181,59.13,10.22,8.03,18,3.34,6.72,0
B2B,Assemblati,C,2025-06-23,22,12.42,0.181,223.78,8.71,32.16,26,3.87,14.81,-1
B2B,Viteria,C,2026-01-10,4,1.92,0.171,6.37,1.2,1.57,10,2.41,0.5,-5
B2B,Viteria,B,2025-05-02,32,,0.19,49.25,1.18,11.49,4,4.59,1.94,-2
B2B,Viteria,C,2025-12-13,13,1.61,0.183,17.1,0.99,4.23,6,3.32,0.81,-3
Retail,Torniti,B,2025-06-18,56,7.02,0.167,327.47,4.27,88.35,10,9.08,7.33,-3
B2B,Torniti,A,2025-02-22,24,5.41,0.229,100.11,3.26,21.87,15,10.82,1.44,-2
Estero,Torniti,C,2025-01-22,95,7.41,0.159,592.02,5.0,117.02,17,2.86,73.76,1
B2B,Viteria,C,2026-01-14,16,2.39,0.132,33.19,1.5,9.19,7,3.26,2.71,-4
B2B,Torniti,A,2025-09-13,5,8.77,0.236,33.5,5.35,6.75,22,7.92,1.3,0
Estero,Lamiere,C,2025-03-17,31,9.97,0.094,280.02,6.5,78.52,20,3.03,27.14,3
B2B,Viteria,B,2026-01-19,19,1.72,0.193,26.37,1.09,5.66,12,7.73,0.8,-2
B2B,Viteria,C,2025-02-06,4,1.04,0.144,3.56,0.6,1.16,8,1.79,0.37,-3
Estero,Lamiere,C,2025-05-24,9,13.57,0.121,107.35,9.85,18.7,15,5.55,6.05,3
Estero,Viteria,C,2025-10-22,12,2.3,0.127,24.09,1.29,8.61,13,7.53,1.31,0
Retail,Assemblati,C,2025-02-10,116,33.32,0.088,3524.99,22.87,872.07,23,3.7,357.18,1
B2B,Lamiere,C,2025-12-18,50,7.68,0.151,326.02,4.72,90.02,20,2.62,53.44,2
Retail,Lamiere,C,2025-09-26,17,11.43,0.126,169.83,7.96,34.51,17,5.26,8.29,0
Estero,Torniti,B,2026-01-03,39,7.41,0.149,245.93,4.32,77.45,18,6.61,15.02,1
Estero,Torniti,B,2025-11-23,3,4.77,0.187,11.63,2.99,2.66,17,4.99,0.85,-4
B2B,Viteria,C,2025-11-19,14,1.88,0.154,22.27,1.09,7.01,11,2.49,3.87,-2
B2B,Torniti,A,2025-04-15,37,7.6,0.247,211.74,4.72,37.1,13,8.68,5.77,5
B2B,Viteria,C,2025-04-06,29,1.31,0.149,32.33,0.84,7.97,6,3.74,3.38,-4
B2B,Lamiere,B,2025-04-20,14,12.4,0.176,143.05,8.54,23.49,19,8.21,5.27,1
Retail,Torniti,C,2025-03-19,24,6.0,0.109,128.3,3.61,41.66,11,3.87,9.32,4
B2B,Torniti,B,2025-09-21,34,9.17,0.2,249.42,5.55,60.72,18,7.03,10.28,2
B2B,Lamiere,C,2025-02-12,24,12.64,0.134,262.71,8.13,67.59,19,3.11,23.63,1
B2B,Viteria,C,2025-06-27,58,1.53,0.123,77.82,0.88,26.78,6,4.72,6.81,-3
B2B,Lamiere,B,2025-08-22,34,8.81,0.192,242.03,6.18,31.91,15,5.58,18.8,-1
B2B,Viteria,C,2025-08-06,41,1.98,0.165,67.79,1.2,18.59,6,6.66,3.55,-2
B2B,Assemblati,B,2025-07-18,136,25.28,0.21,2716.08,18.66,178.32,29,4.77,118.34,3
B2B,Lamiere,C,2025-04-13,56,9.9,0.174,457.93,7.35,46.33,17,4.02,31.46,4
Estero,Assemblati,C,2025-03-02,140,17.74,0.137,2143.35,12.45,400.35,28,7.53,73.06,2
B2B,Lamiere,B,2026-01-17,13,9.94,0.185,105.31,6.52,20.55,14,8.64,4.28,-1
B2B,Assemblati,A,2025-07-10,5,26.56,0.24,100.93,18.78,7.03,19,12.98,1.33,0
B2B,Viteria,B,2025-08-27,21,1.12,0.165,19.64,0.7,4.94,7,6.66,1.02,0
B2B,Viteria,A,2025-08-17,20,2.48,0.226,38.39,1.6,6.39,13,10.19,1.09,1
B2B,Viteria,C,2025-06-05,106,1.64,0.149,147.94,1.01,40.88,4,3.29,10.27,-2
B2B,Viteria,B,2025-10-12,8,,0.185,11.54,1.24,1.62,6,4.93,0.4,-4
B2B,Assemblati,C,2025-06-08,23,16.53,0.152,322.4,12.18,42.26,25,2.04,26.22,4
B2B,Torniti,C,2025-06-22,37,6.9,0.123,223.9,4.36,62.58,19,4.38,21.35,0
Retail,Torniti,C,2025-11-11,27,6.77,0.077,168.72,4.05,59.37,13,2.04,26.72,0
B2B,Lamiere,C,2025-05-18,21,15.63,0.166,273.74,11.26,37.28,20,4.4,19.63,-1
B2B,Torniti,B,2025-10-04,35,8.56,0.173,247.77,5.07,70.32,11,5.38,7.15,-2
Retail,Torniti,C,2025-09-21,72,6.35,0.086,417.88,3.65,155.08,8,2.51,63.48,1
B2B,Assemblati,C,2025-02-02,114,21.27,0.152,2056.21,16.08,223.09,19,5.72,76.64,-3
B2B,Torniti,C,2025-09-28,25,5.95,0.131,129.26,3.56,40.26,11,2.11,16.24,-3
B2B,Torniti,B,2025-11-10,11,6.58,0.212,57.04,4.01,12.93,15,4.75,4.13,4
B2B,Viteria,A,2025-04-30,114,2.64,0.215,236.25,1.74,37.89,4,8.18,5.5,1
B2B,Assemblati,C,2025-12-21,8,15.21,0.15,103.43,11.04,15.11,23,3.69,10.9,2
Estero,Viteria,C,2025-01-29,147,2.5,0.115,325.24,1.54,98.86,11,2.82,46.2,-3
Estero,Lamiere,B,2025-03-28,94,14.8,0.173,1150.52,9.75,234.02,20,10.01,35.15,1
Estero,Assemblati,C,2026-01-02,109,18.86,0.12,1809.05,14.38,241.63,29,2.17,216.44,2
B2B,Viteria,A,2025-11-30,49,1.97,0.24,73.36,1.19,15.05,5,40.0,0.41,-2
B2B,Viteria,C,2025-10-24,3,1.92,0.174,4.76,1.19,1.19,12,2.42,0.72,0
B2B,Lamiere,B,2025-08-30,9,8.98,0.176,66.6,6.21,10.71,20,16.88,0.99,-3
B2B,Lamiere,B,2025-04-05,33,10.31,0.176,280.35,7.13,45.06,15,8.8,12.52,-5
B2B,Assemblati,B,2025-07-19,12,13.86,0.184,135.72,10.54,9.24,26,5.77,8.7,2
B2B,Assemblati,B,2025-08-16,18,16.8,0.219,236.17,12.05,19.27,19,6.5,9.3,1
B2B,Lamiere,B,2025-02-23,45,16.8,0.188,613.87,12.35,58.12,22,5.26,25.52,2
B2B,Assemblati,B,2025-08-27,21,20.81,0.215,343.05,14.78,32.67,23,6.77,13.04,3
B2B,Torniti,B,2025-02-23,7,4.54,0.186,25.87,2.79,6.34,9,4.64,1.41,1
Retail,Assemblati,C,2025-03-08,59,21.01,0.124,1085.88,14.97,202.65,16,4.49,105.69,4
B2B,Viteria,C,2025-03-25,41,1.91,0.158,65.94,1.34,11.0,7,3.73,5.98,2
Estero,Lamiere,C,2025-04-01,19,15.9,0.141,259.5,10.59,58.29,25,2.48,36.34,1
B2B,Viteria,B,2025-02-20,50,1.53,0.161,64.18,0.93,17.68,7,6.97,2.16,0
B2B,Viteria,A,2026-01-06,27,1.32,0.208,28.23,0.82,6.09,7,11.36,0.64,0
B2B,Torniti,C,2025-11-10,93,6.41,0.171,494.19,3.78,142.65,14,2.72,52.66,-4
B2B,Viteria,C,2025-07-26,29,2.08,0.171,50.01,1.32,11.73,2,3.01,7.36,1
B2B,Lamiere,C,2025-06-05,92,12.73,0.198,939.27,9.28,85.51,20,4.19,78.52,2
B2B,Torniti,C,2025-04-01,4,5.21,0.12,18.34,3.16,5.7,18,5.13,0.7,-4
Retail,Viteria,C,2026-01-03,39,3.49,0.11,121.14,2.19,35.73,8,3.33,16.27,3
B2B,Lamiere,C,2025-11-09,16,11.71,0.13,163.0,7.86,37.24,17,4.85,7.76,-1
B2B,Torniti,B,2025-10-23,10,6.82,0.175,56.26,3.95,16.76,11,9.03,2.1,-1
Estero,Assemblati,C,2025-07-12,78,16.78,0.12,1151.78,12.15,204.08,23,5.52,86.08,1
B2B,Viteria,C,2025-02-01,60,2.37,0.158,119.73,1.47,31.53,5,4.05,9.9,-2
Retail,Assemblati,C,2025-09-12,3,25.96,0.087,71.1,19.91,11.37,27,2.55,11.93,8
B2B,Assemblati,B,2025-07-18,50,19.47,0.191,787.56,13.27,124.06,22,8.2,38.84,0
B2B,Torniti,B,2025-05-10,44,4.87,0.207,169.92,3.21,28.68,17,5.61,4.86,0
B2B,Lamiere,B,2025-05-17,12,15.77,0.213,148.93,10.63,21.37,21,7.16,7.41,1
B2B,Torniti,B,2025-02-12,11,7.85,0.204,68.73,4.76,16.37,14,4.81,5.23,-2
Retail,Assemblati,C,2025-12-06,5,29.0,0.109,129.2,19.64,31.0,17,2.84,11.9,1
B2B,Viteria,C,2025-03-23,18,1.82,0.147,27.94,1.17,6.88,10,2.74,4.31,-3
B2B,Assemblati,B,2025-11-14,21,17.67,0.179,304.65,12.04,51.81,19,3.77,31.54,2
B2B,Assemblati,C,2026-01-12,54,17.2,0.161,779.26,12.64,96.7,24,2.85,71.12,-1
Estero,Lamiere,B,2025-02-07,32,23.34,0.149,635.59,16.13,119.43,19,4.18,32.98,-1
Retail,Torniti,C,2025-09-06,9,7.09,0.102,57.3,4.16,19.86,11,4.27,2.87,-3
Estero,Lamiere,B,2025-02-15,31,9.81,0.148,259.1,5.86,77.44,21,4.13,13.56,0
Retail,Torniti,B,2025-11-21,19,7.4,0.139,121.06,5.08,24.54,16,4.75,8.33,-4
Retail,Assemblati,C,2025-07-26,10,19.69,0.079,181.34,13.35,47.84,13,3.5,17.76,-6
B2B,Viteria,C,2025-01-29,5,2.47,0.142,10.6,1.56,2.8,15,6.6,0.31,-1
Estero,Viteria,C,2025-10-30,46,1.41,0.116,57.34,0.83,19.16,10,2.75,6.56,-4
B2B,Viteria,B,2025-10-28,38,1.56,0.174,48.97,1.03,9.83,8,3.7,2.98,4
B2B,Assemblati,C,2025-12-25,43,18.88,0.148,691.69,13.31,119.36,23,2.21,132.43,0
Retail,Lamiere,B,2025-07-18,12,20.6,0.092,224.46,13.39,63.78,17,4.44,20.57,2
B2B,Assemblati,B,2025-12-28,29,21.51,0.154,527.73,16.0,63.73,25,4.77,20.43,2
B2B,Lamiere,C,2025-09-21,6,17.99,0.166,90.02,11.32,22.1,20,7.84,2.59,-2
B2B,Viteria,C,2025-08-01,9,1.96,0.153,14.94,1.18,4.32,14,4.91,1.32,-1
B2B,Assemblati,C,2025-06-01,25,17.11,0.136,369.58,12.79,49.83,24,3.13,28.3,3
Retail,Torniti,B,2025-05-08,32,10.06,0.159,270.73,6.64,58.25,12,11.48,9.31,1
B2B,Lamiere,C,2025-09-05,5,8.53,0.137,36.81,5.47,9.46,16,2.82,2.16,2
Retail,Viteria,B,2025-10-18,9,1.47,0.128,11.54,0.88,3.62,4,5.2,0.59,-3
B2B,Viteria,C,2025-02-04,17,2.3,0.134,33.86,1.46,9.04,12,2.97,3.81,1
Retail,Viteria,C,2025-06-21,64,2.37,0.138,130.75,1.28,48.83,11,5.01,7.04,-2
B2B,Lamiere,C,2025-02-07,11,15.27,0.155,141.93,11.21,18.62,21,3.42,16.07,3
Estero,Torniti,C,2025-06-15,28,5.78,0.134,140.15,3.24,49.43,9,5.93,10.49,2
B2B,Viteria,C,2025-11-09,31,2.48,0.159,64.66,1.49,18.47,1,4.07,4.83,-5
B2B,Viteria,B,2025-10-01,19,2.13,0.153,34.28,1.34,8.82,8,8.25,1.2,0
B2B,Viteria,C,2025-03-08,32,1.79,0.138,49.38,1.11,13.86,7,1.85,9.65,-4
B2B,Lamiere,C,2025-10-10,6,12.64,0.159,63.78,8.11,15.12,18,1.93,12.43,3
B2B,Assemblati,B,2025-01-27,13,19.63,0.19,206.7,15.49,5.33,26,3.35,10.36,-1
Retail,Lamiere,A,2025-01-26,103,12.11,0.234,955.45,6.99,235.48,20,8.61,31.21,2
Estero,Viteria,B,2025-12-21,110,1.8,0.159,166.52,1.04,52.12,13,3.5,14.27,2
Retail,Torniti,C,2025-02-02,57,8.83,0.119,443.42,5.07,154.43,7,5.4,19.89,-1
B2B,Assemblati,C,2025-04-28,74,16.19,0.166,999.18,11.04,182.22,18,3.26,115.77,3
B2B,Torniti,C,2025-03-11,4,4.5,0.153,15.25,2.92,3.57,14,4.34,1.46,1
Retail,Assemblati,B,2025-08-22,10,24.22,0.146,206.84,15.83,48.54,21,5.05,16.53,5
Retail,Assemblati,A,2025-07-31,18,27.73,0.184,407.3,21.69,16.88,16,13.35,10.38,-3
B2B,Torniti,B,2025-11-24,275,8.49,0.151,1982.2,5.0,607.2,16,3.02,254.84,-1
Estero,Assemblati,B,2026-01-17,18,22.62,0.177,335.09,15.06,64.01,21,5.9,12.48,-4
B2B,Viteria,A,2025-10-21,52,2.21,0.249,86.3,1.18,24.94,1,11.92,1.14,-2
Retail,Assemblati,A,2025-07-11,36,28.8,0.202,827.37,20.49,89.73,17,12.27,20.5,-3
Estero,Assemblati,A,2025-02-08,35,20.2,0.221,550.75,13.98,61.45,30,8.95,16.8,-2
Retail,Assemblati,B,2025-12-24,24,13.25,0.159,267.44,9.67,35.36,25,3.3,33.59,-3
B2B,Lamiere,C,2025-08-14,7,16.04,0.133,97.35,10.62,23.01,13,4.99,7.54,-1
Retail,Torniti,B,2025-04-11,2,6.5,0.169,10.8,4.15,2.5,7,5.23,0.55,0
B2B,Viteria,B,2025-08-07,88,1.36,0.17,99.33,0.84,25.41,10,5.39,2.86,1
Retail,Torniti,C,2025-06-14,13,6.17,0.098,72.35,3.6,25.55,11,7.61,2.21,2
B2B,Lamiere,C,2025-05-29,4,22.33,0.164,74.67,16.05,10.47,22,3.62,5.32,3
Retail,Torniti,C,2025-07-06,38,9.07,0.09,313.64,5.52,103.88,14,2.92,37.89,-3
Estero,Torniti,C,2025-10-24,37,5.51,0.145,174.31,3.48,45.55,21,2.86,25.66,-1
B2B,Viteria,C,2025-03-22,53,1.52,0.143,69.04,1.01,15.51,6,4.39,3.4,0
B2B,Viteria,C,2026-01-08,75,1.8,0.152,114.48,1.09,32.73,9,2.63,16.79,0
Retail,Viteria,C,2025-02-13,10,2.58,0.096,23.32,1.6,7.32,12,4.19,2.05,3
B2B,Torniti,B,2025-03-16,10,6.97,0.178,57.29,4.42,13.09,14,8.82,1.66,-1
B2B,Torniti,C,2025-09-25,18,5.15,0.195,74.62,2.59,28.0,14,3.39,3.41,2
B2B,Torniti,B,2025-03-16,56,7.04,0.173,326.04,4.2,90.84,13,8.48,6.14,0
B2B,Viteria,B,2025-11-01,3,1.54,0.144,3.95,0.94,1.13,3,5.86,0.23,0
Retail,Assemblati,B,2025-10-17,28,29.23,0.124,716.95,21.48,115.51,17,4.72,61.39,1
Retail,Torniti,B,2025-06-27,62,8.24,0.143,437.82,4.68,147.66,9,3.35,44.38,-1
B2B,Viteria,B,2025-07-06,60,1.49,0.182,73.13,0.99,13.73,3,6.61,4.23,-4
B2B,Viteria,C,2026-01-21,50,2.14,0.17,88.81,1.26,25.81,3,3.88,6.89,-1
B2B,Lamiere,B,2025-11-08,71,13.21,0.21,740.95,8.74,120.41,11,8.46,20.04,1
B2B,Lamiere,A,2025-09-09,2,10.66,0.234,16.33,6.97,2.39,16,13.63,0.19,1
Retail,Viteria,B,2025-03-14,123,2.7,0.106,296.9,1.81,74.27,8,12.37,9.49,-8
B2B,Viteria,B,2025-08-25,34,2.11,0.164,59.97,1.13,21.55,7,4.9,3.58,-1
B2B,Viteria,C,2025-02-05,93,2.43,0.149,192.32,1.68,36.08,7,3.96,20.05,1
Estero,Viteria,B,2025-04-23,8,2.36,0.139,16.26,1.6,3.46,14,4.72,0.9,-2
B2B,Viteria,A,2025-10-03,4,1.71,0.233,5.25,1.02,1.17,13,13.85,0.09,3
Retail,Assemblati,A,2025-06-19,146,14.74,0.218,1682.9,11.22,44.78,27,7.23,81.49,0
B2B,Lamiere,B,2026-01-20,10,12.57,0.197,100.94,8.61,14.84,18,8.26,4.05,0
B2B,Lamiere,A,2025-12-30,18,13.07,0.241,178.56,9.75,3.06,17,7.73,8.35,1
B2B,Torniti,B,2025-02-25,42,6.58,0.169,229.66,4.2,53.26,13,7.85,5.19,-2
Retail,Lamiere,C,2025-12-10,53,7.07,0.104,335.74,5.43,47.95,18,5.34,11.0,3
Retail,Viteria,C,2025-12-03,72,2.67,0.095,173.98,1.49,66.7,6,2.03,27.53,2
B2B,Viteria,C,2025-03-01,31,1.43,0.155,37.46,0.9,9.56,8,2.18,5.4,-3
B2B,Viteria,A,2025-06-11,9,2.14,0.255,14.35,1.18,3.73,8,10.86,0.24,-1
B2B,Torniti,B,2026-01-03,50,9.94,0.208,393.62,5.76,105.62,11,6.28,17.49,4
Retail,Lamiere,C,2025-01-28,51,14.08,0.103,644.12,10.84,91.28,9,3.16,69.32,2
Retail,Lamiere,B,2025-02-12,4,16.74,0.15,56.92,11.7,10.12,14,5.08,3.5,-4
Retail,Torniti,C,2025-07-27,101,8.19,0.09,752.74,5.24,223.5,16,2.59,59.86,3
Estero,Assemblati,B,2026-01-04,2,22.58,0.193,36.44,16.72,3.0,30,6.74,2.32,-7
B2B,Viteria,A,2025-05-03,69,1.85,0.222,99.31,1.18,17.89,11,7.14,2.23,1
Retail,Lamiere,B,2025-10-31,13,13.18,0.136,148.04,8.69,35.07,15,6.82,5.03,-2
Retail,Lamiere,C,2025-10-02,50,11.96,0.125,523.25,7.79,133.75,14,2.86,31.15,1
B2B,Torniti,C,2025-03-16,41,9.67,0.14,340.96,5.59,111.77,19,3.02,26.53,1
Estero,Torniti,C,2025-05-07,24,7.98,0.103,171.79,3.92,77.71,15,5.36,11.4,0
B2B,Torniti,B,2025-09-06,39,8.0,0.182,255.22,4.77,69.19,14,8.38,4.79,1
Retail,Viteria,C,2025-07-16,23,2.49,0.128,49.94,1.57,13.83,11,2.47,3.27,-2
Retail,Lamiere,B,2025-04-18,50,19.14,0.095,866.08,12.54,239.08,16,4.42,41.49,-1
Estero,Assemblati,B,2025-04-05,218,15.83,0.172,2857.38,11.31,391.8,25,7.88,57.4,4
B2B,Lamiere,C,2025-08-13,6,12.25,0.137,63.43,8.59,11.89,21,2.12,7.99,1
B2B,Assemblati,C,2025-11-20,1,20.42,0.147,17.42,15.43,1.99,22,5.82,0.66,0
Retail,Lamiere,B,2025-06-21,16,20.72,0.133,287.43,13.1,77.83,17,6.29,11.27,0
Retail,Lamiere,B,2025-12-25,15,29.26,0.159,369.11,18.97,84.56,21,4.9,30.22,0
B2B,Lamiere,B,2025-09-22,17,13.29,0.191,182.78,9.44,22.3,10,6.02,8.49,-1
Retail,Lamiere,B,2025-06-18,10,12.71,0.16,106.76,8.94,17.36,17,9.66,1.71,1
B2B,Assemblati,A,2025-10-07,59,13.35,0.266,578.14,10.33,-31.33,20,4.74,38.3,-1
Retail,Viteria,C,2025-07-04,6,1.79,0.101,9.66,1.2,2.46,5,5.01,0.35,3
Estero,Torniti,A,2025-10-25,39,5.89,0.213,180.78,4.1,20.88,18,15.19,2.0,1
B2B,Torniti,C,2026-01-15,46,3.15,0.158,122.01,1.85,36.91,12,3.13,9.67,-5
B2B,Assemblati,B,2025-11-05,34,15.2,0.201,412.92,11.9,8.32,23,5.85,16.35,2
Estero,Torniti,B,2025-03-14,40,8.55,0.147,291.73,4.82,98.93,19,6.29,8.51,-2
Retail,Assemblati,B,2025-02-17,63,22.93,0.145,1235.12,18.71,56.39,21,7.76,38.12,1
Estero,Assemblati,B,2025-11-13,26,18.56,0.165,402.94,13.7,46.74,26,4.65,25.58,1
B2B,Viteria,B,2025-11-27,17,1.2,0.182,16.69,0.77,3.6,8,5.97,0.63,1
Estero,Assemblati,C,2025-08-17,40,25.75,0.116,910.52,19.56,128.12,26,3.38,43.02,3
B2B,Assemblati,C,2025-04-21,45,20.46,0.137,794.56,13.62,181.66,22,4.44,74.76,2
B2B,Viteria,B,2025-12-09,60,1.79,0.215,84.31,1.03,22.51,5,15.3,1.9,4
B2B,Torniti,C,2025-07-04,4,3.75,0.143,12.86,2.27,3.78,18,2.71,1.72,-1
Retail,Viteria,C,2025-05-08,20,1.99,0.123,34.9,1.26,9.7,6,3.6,2.64,2
Estero,Torniti,B,2025-06-04,8,7.97,0.173,52.73,5.45,9.13,17,4.6,3.69,4
Retail,Viteria,C,2025-05-10,43,2.23,0.077,88.51,1.3,32.61,7,2.95,10.83,0
Retail,Torniti,C,2025-05-05,51,8.52,0.104,389.33,5.64,101.69,12,2.4,41.69,1
B2B,Lamiere,C,2025-05-20,19,14.24,0.126,236.47,9.53,55.4,22,2.05,46.07,3
B2B,Torniti,C,2025-09-25,12,6.76,0.162,67.98,3.98,20.22,17,5.29,4.91,0
B2B,Viteria,C,2025-01-28,45,2.12,0.146,81.47,1.3,22.97,8,3.96,4.86,-2
B2B,Torniti,B,2025-06-03,21,5.26,0.207,87.59,3.09,22.7,17,6.2,3.53,-1
B2B,Lamiere,C,2025-03-25,102,8.84,0.179,740.28,6.18,109.92,19,2.58,58.87,1
Estero,Torniti,C,2025-09-15,144,8.06,0.095,1050.38,4.71,372.14,15,3.41,92.65,-1
Retail,Viteria,B,2026-01-20,67,2.67,0.131,155.46,1.5,54.96,9,4.0,15.29,-2
Retail,Viteria,C,2025-11-05,31,2.56,0.076,73.33,1.56,24.97,1,3.47,6.75,-4
B2B,Lamiere,B,2025-04-22,152,12.4,0.233,1445.64,8.66,129.32,7,6.74,55.0,-3
B2B,Assemblati,A,2025-07-28,31,16.6,0.231,395.73,11.02,54.11,24,8.27,13.07,0
B2B,Viteria,C,2025-01-29,15,1.9,0.124,24.97,1.22,6.67,9,2.69,3.32,-2
B2B,Torniti,C,2025-06-21,12,7.15,0.195,69.07,4.63,13.51,15,2.95,7.12,0
B2B,Viteria,C,2025-05-03,12,2.01,0.135,20.86,1.37,4.42,12,4.66,1.41,-2
B2B,Torniti,C,2025-07-24,24,12.47,0.118,263.96,7.65,80.36,14,3.76,23.37,1
B2B,Viteria,B,2025-06-20,39,1.43,0.167,46.46,0.78,16.04,7,3.42,5.05,4
Retail,Lamiere,C,2025-09-28,6,33.6,0.103,180.84,23.72,38.52,18,4.51,13.54,4
B2B,Lamiere,C,2025-08-09,16,8.76,0.151,119.0,6.3,18.2,16,4.23,10.0,-2
B2B,Viteria,C,2025-12-30,30,1.98,0.133,51.5,1.17,16.4,7,3.74,4.82,-2
B2B,Viteria,B,2025-02-16,47,1.34,0.18,51.64,0.83,12.63,9,10.67,2.07,-4
B2B,Lamiere,B,2026-01-01,24,12.95,0.191,251.44,9.06,34.0,19,6.05,15.42,1
B2B,Lamiere,C,2025-11-06,31,15.34,0.176,391.84,11.53,34.41,17,4.07,30.23,1
B2B,Assemblati,A,2025-10-09,7,18.15,0.247,95.67,12.88,5.51,21,11.79,3.4,1
Retail,Lamiere,B,2025-11-19,10,19.13,0.129,166.62,13.69,29.72,13,8.16,8.58,-3
B2B,Assemblati,C,2025-02-09,23,16.19,0.145,318.38,11.86,45.6,20,3.24,25.1,-1
Estero,Lamiere,C,2025-04-09,41,7.91,0.145,277.29,5.44,54.25,27,2.79,38.92,4
B2B,Viteria,C,2025-01-22,31,2.11,0.184,53.37,1.42,9.35,7,4.92,4.82,0
B2B,Viteria,C,2025-11-09,10,1.81,0.128,15.78,1.06,5.18,9,4.83,0.69,-3
B2B,Lamiere,C,2025-05-31,19,10.64,0.172,167.39,7.33,28.12,14,5.47,8.23,-3
B2B,Viteria,B,2025-06-02,111,1.62,0.184,146.73,1.01,34.62,16,6.94,5.81,0
B2B,Assemblati,C,2025-09-01,42,19.93,0.118,738.29,13.15,185.99,19,1.97,124.86,0
Estero,Torniti,C,2025-06-25,21,5.83,0.094,110.92,3.79,31.33,14,3.71,13.12,-3
